,method,iter,train_test,n,p,mse,r2
308,ExpandedLR,0,train,75000.0,8,3.314883723152256,0.9194345008969117
309,ExpandedLR,0,test,75000.0,8,3.6660773453908395,0.9113677013819617
310,EMLR,0,train,75000.0,8,9.383597926881604,0.7719394363422751
311,EMLR,0,test,75000.0,8,9.227480724255757,0.7769133736164429
312,MICELR,0,train,75000.0,8,8.95819575289876,0.7822784832980083
313,MICELR,0,test,75000.0,8,8.800608888589657,0.7872335683220879
314,"MLP W0.3, D1",0,train,75000.0,8,4.418799967246023,0.8926047323134012
315,"MLP W0.3, D1",0,test,75000.0,8,4.470794099809676,0.8919126029317719
316,"MLP W0.5, D1",0,train,75000.0,8,3.9257569817245486,0.9045877330836486
317,"MLP W0.5, D1",0,test,75000.0,8,3.990038900927274,0.9035354996508199
318,"MLP W1, D1",0,train,75000.0,8,3.6282576667476167,0.9118182071502174
319,"MLP W1, D1",0,test,75000.0,8,3.692003298188219,0.9107409069709862
320,"MLP W2, D1",0,train,75000.0,8,3.4466728047084283,0.9162314765923929
321,"MLP W2, D1",0,test,75000.0,8,3.5428263321628264,0.9143474586484402
322,"MLP W4, D1",0,train,75000.0,8,3.4433795672554393,0.9163115159968558
323,"MLP W4, D1",0,test,75000.0,8,3.56685206477034,0.9137666045893562
324,ConstantImputedLR,0,train,750.0,10,4.854001017973835,0.7741129867541499
325,ConstantImputedLR,0,test,750.0,10,4.3054196256905035,0.7529476326852131
326,ExpandedLR,0,train,750.0,10,0.132475119987701,0.9938351044689524
327,ExpandedLR,0,test,750.0,10,28.60444351562521,-0.6413720614106087
328,EMLR,0,train,750.0,10,4.352772958282544,0.7974382619115785
329,EMLR,0,test,750.0,10,4.16783650092645,0.7608423885117311
330,MICELR,0,train,750.0,10,4.265816488982968,0.8014848900560211
331,MICELR,0,test,750.0,10,4.164398138895591,0.7610396876261636
332,"MLP W0.3, D1",0,train,750.0,10,4.0879072848175335,0.8097641175652586
333,"MLP W0.3, D1",0,test,750.0,10,4.331280372220309,0.7514636986657292
334,"MLP W0.5, D1",0,train,750.0,10,3.4248561397806845,0.8406200325572447
335,"MLP W0.5, D1",0,test,750.0,10,4.233565404033838,0.7570707512439514
336,"MLP W1, D1",0,train,750.0,10,2.5171729878993485,0.8828602041997385
337,"MLP W1, D1",0,test,750.0,10,3.8699227847314255,0.7779371888425404
338,"MLP W2, D1",0,train,750.0,10,1.4897453406229044,0.9306728358226225
339,"MLP W2, D1",0,test,750.0,10,3.9105472327570934,0.7756060882929654
340,"MLP W4, D1",0,train,750.0,10,0.7666883182333867,0.964321199428072
341,"MLP W4, D1",0,test,750.0,10,3.9178074148487583,0.7751894865842308
342,ConstantImputedLR,0,train,3750.0,10,4.667946387458185,0.7710971987211144
343,ConstantImputedLR,0,test,3750.0,10,4.85772950711101,0.7592004109798781
344,ExpandedLR,0,train,3750.0,10,2.1520921903985775,0.894467525951837
345,ExpandedLR,0,test,3750.0,10,76.6363540719267,-2.7988946353448694
